/home/rgundaka/miniconda3/envs/CPINO/lib/python3.10/site-packages/torch/functional.py:568: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2228.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram. Use `wandb login --relogin` to force relogin
loading data
data is loaded
using device: cuda:0
wandb: wandb version 0.12.19 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.18
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/CPINO/experiments/wave1D_PINO/wandb/run-20220627_220959-39v0emb5
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run prime-dragon-13
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO-wave1D
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO-wave1D/runs/39v0emb5

  0% 0/500 [00:00<?, ?it/s]
L2 data loss: 0.00633 L2 ic loss: 0.00069 L2 f loss: 0.03490 loss: 0.10165 :   9% 47/500 [01:24<13:30,  1.79s/it]
L2 data loss: 0.00631 L2 ic loss: 0.00069 L2 f loss: 0.03472 loss: 0.10127 :   9% 47/500 [01:26<13:30,  1.79s/it]
L2 data loss: 0.00631 L2 ic loss: 0.00069 L2 f loss: 0.03472 loss: 0.10127 :  10% 48/500 [01:26<13:28,  1.79s/it]
L2 data loss: 0.00629 L2 ic loss: 0.00069 L2 f loss: 0.03427 loss: 0.10064 :  10% 48/500 [01:28<13:28,  1.79s/it]
L2 data loss: 0.00629 L2 ic loss: 0.00069 L2 f loss: 0.03427 loss: 0.10064 :  10% 49/500 [01:28<13:26,  1.79s/it]
L2 data loss: 0.00628 L2 ic loss: 0.00069 L2 f loss: 0.03371 loss: 0.09992 :  10% 49/500 [01:29<13:26,  1.79s/it]
L2 data loss: 0.00628 L2 ic loss: 0.00069 L2 f loss: 0.03371 loss: 0.09992 :  10% 50/500 [01:29<13:24,  1.79s/it]
L2 data loss: 0.00627 L2 ic loss: 0.00069 L2 f loss: 0.03430 loss: 0.10042 :  10% 50/500 [01:31<13:24,  1.79s/it]
L2 data loss: 0.00627 L2 ic loss: 0.00069 L2 f loss: 0.03430 loss: 0.10042 :  10% 51/500 [01:31<13:22,  1.79s/it]
L2 data loss: 0.00626 L2 ic loss: 0.00069 L2 f loss: 0.03434 loss: 0.10037 :  10% 51/500 [01:33<13:22,  1.79s/it]
L2 data loss: 0.00626 L2 ic loss: 0.00069 L2 f loss: 0.03434 loss: 0.10037 :  10% 52/500 [01:33<13:21,  1.79s/it]
L2 data loss: 0.00625 L2 ic loss: 0.00068 L2 f loss: 0.03396 loss: 0.09988 :  10% 52/500 [01:35<13:21,  1.79s/it]
L2 data loss: 0.00625 L2 ic loss: 0.00068 L2 f loss: 0.03396 loss: 0.09988 :  11% 53/500 [01:35<13:19,  1.79s/it]
L2 data loss: 0.00623 L2 ic loss: 0.00068 L2 f loss: 0.03242 loss: 0.09814 :  11% 53/500 [01:37<13:19,  1.79s/it]
